id,year,type,accidentType,firstAddress,secondAddress,geometry,reason,area,creationDate,daniosMateriales,falloMecanico,estadoPavimento,tipoEstadoPavimento,estadoAtmosfera,tipoEstadoAtmosfera,afectado,vehiculo
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9596,2013,COLIS FRONTOLATERAL,,"COCCI, JORGE","TORRES, CAMINO DE LAS","-0.8702378170957302,41.64800983810071",GIROS: no respetar señal ó no ceñirse a la dirección,4500.0,2013-12-06T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18970
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9597,2013,COLISIÓN ALCANCE,,SAN ANTONIO M CLARET,,"-0.8946704854868904,41.64523896059624","DISTANCIA DE SEGURIDAD, no mantener",4501.0,2013-12-04T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18971https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18972
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9598,2013,COLISIÓN ALCANCE,,Z-40,"HISPANIDAD, RONDA DE","-0.860941643955738,41.621490037116835","DISTANCIA DE SEGURIDAD, no mantener",4503.0,2013-12-10T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18973
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9599,2013,COLIS FRONTOLATERAL,,"PUERTO VENECIA, AV.",Z-40,"-0.8790159985454675,41.608212369404406","PREFERENCIA EN GLORIETA, no respetar",4504.0,2013-12-05T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18974
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9600,2013,COLIS FRONTOLATERAL,,"PLAN, IBON DE",,"-0.9349186121422058,41.65052507387266","SEMÁFORO, no respetar prioridad de paso",4736.0,2013-12-12T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6305,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18975https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18976
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9601,2013,SALIDA CALZADA,,"TORRES, CAMINO DE LAS","SCHWEITZER, ALBERT","-0.8822640071203385,41.642261472723284",PERDIDA del control por FALTA de ATENCIÓN,4792.0,2013-12-12T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18977
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12197,2014,COLIS. MARCHA ATRÁS,,PEDRO IV CEREMONIOSO,"ISABEL CATOLICA, PS.","-0.903864305859127,41.633640405043856",PERDIDA del control por FALTA de ATENCIÓN,1977.0,2014-07-28T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44528
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12198,2014,COLISIÓN LATERAL,,"PUERTO VENECIA, AV.",,"-0.8812092223722603,41.6097609187085",INVADIR otro carril en el mismo sentido de circulación,1980.0,2014-07-31T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44529
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12199,2014,COLISIÓN LATERAL,,"OLVIDADOS, PS. DE LOS","QUIMERA DEL ORO, LA","-0.9203355765575595,41.621341391177246",INVADIR otro carril en el mismo sentido de circulación,2005.0,2014-07-31T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44530https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44531
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12200,2014,CAIDA SOBRE CALZADA,,COSO,,"-0.881618185195448,41.65277339280815",PERDIDA del control por FALTA de ATENCIÓN,2013.0,2014-07-31T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15182,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44532
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12201,2014,COLIS. MARCHA ATRÁS,,"TORRES, CAMINO DE LAS","ALIERTA, AV. CESAREO","-0.8769680638595346,41.64519362273534",MARCHA ATRÁS,2021.0,2014-07-31T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44533https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44534
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12202,2014,COLIS FRONTOLATERAL,,"CESAR AUGUSTO, AVDA",MANIFESTACION,"-0.8825406002781264,41.656759589952394","SEMÁFORO, no respetar prioridad de paso",2030.0,2014-07-23T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15183,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44535https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44536
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12203,2014,OTRAS,,SAN VIATOR,,"-0.8773192457279401,41.62832535116864",PERDIDA del control por FALTA de ATENCIÓN,,2014-07-30T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44537
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12204,2014,COLISIÓN ALCANCE,,ARGUALAS,,"-0.9168317349174159,41.627679451344385",PERDIDA del control por FALTA de ATENCIÓN,,2014-07-18T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44538
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12205,2014,SALIDA CALZADA,,"MADRID, AVENIDA DE",RIOJA,"-0.9105399800573267,41.652080660184666",PERDIDA del control por FALTA de ATENCIÓN,2168.0,2014-09-06T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44539
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12206,2014,COLISIÓN LATERAL,,"CABALLERO,FCO(ALCALDE",,"-0.8686007084162083,41.676853778037234",INVADIR otro carril en el mismo sentido de circulación,2161.0,2014-08-26T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44540https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44541
